Codigo	Entidade	TipoEntidade	NIF	Rua	Localidade	CodigoPostal	DescrPostal	Email	Telefone	Fax	Sitio	CodigoINE	Eleitores2011	Populacao2011	Area_ha	NomeCompleto
9673	Agualva (PRAIA DA VITÓRIA)	Freguesia	512078106	Cabouco da Igreja n.º 139	Agualva-Praia da Vitória (Santa Cruz) (VILA PRAIA	9760-021	AGUALVA	jfagualva@sapo.pt	295903365	295903365		430201	1354	1573	3875.43	Agualva (VILA
14508	Agualva e Mira-Sintra (SINTRA)	Freguesia	510833896	Rua António Nunes Sequeira, N.º 16	Agualva (SINTRA)	2735-054	AGUALVA-CACÉM	geral@jf-agualvamirasintra.pt	219188540	219146129		111122				União das freguesias de Agualva e Mira-Sintra
8503	Águas Belas (FERREIRA DO ZÊZERE)	Freguesia	507069480	Rua António Teixeira Antunes	Águas Belas (FERREIRA DO ZÊZERE)	2240-029	ÁGUAS BELAS	junta.aguasbelas@gmail.com	249362303	249362322		141101	1056	1140	1894.35	Águas Belas
7482	Águas Belas (SABUGAL)	Freguesia	507167619	Rua Vila do Sabugal, N.º 3	Águas Belas (SABUGAL)	6320-011	ÁGUAS BELAS	freguesiaaguasbelas@sapo.pt	271615310	271615310		91101	301	220	2056.85	Águas Belas
14864	Águas Boas e Forles (SÁTÃO)	Freguesia	510833900	Estrada Principal	Águas Boas (SATÃO)	3560-010	ÁGUAS BOAS					181713				União das freguesias de Águas Boas e Forles
9036	Águas Frias (CHAVES)	Freguesia	506895491	Rua Central, N.º 27	Águas Frias (CHAVES)	5400-601	ÁGUAS FRIAS	romeu_gomes@portugalmail.com	276946163 / 910261276			170301	1002	897	2877.58	Águas Frias
14526	Águas Livres (AMADORA)	Freguesia	510832709	Estrada Militar, N.º 82	Damaia	2720-797	AMADORA	geral@jf-buraca.pt	214702600	214702601		111513				Águas Livres
8184	Águas Santas (MAIA)	Freguesia	506931536	Joaquim de Vasconcelos,174	ÁGUAS SANTAS	4425-455	4425 - 455 ÁGUAS SANTAS	geral@jf-aguassantas.pt	229710001	229780702	www.jf-aguassantas.pt	130601	20790	25249	822.59	Águas Santas
14150	Águas Santas e Moure (PÓVOA DE LANHOSO)	Freguesia	510833918	R. do Cabo, N.º 358	Águas Santas (PÓVOA DE LANHOSO)	4830-013	ÁGUAS SANTAS		253995640			30930				União das freguesias de Águas Santas e Moure
14610	Aguçadoura e Navais (PÓVOA DE VARZIM)	Freguesia	510833926	Rua da Pinguela, N.º 9	Aguçadoura (PÓVOA DE VARZIM)	4495-030	AGUÇADOURA	jf.agucadoura@sapo.pt	252612003	252612003		131314				União das freguesias de Aguçadoura e Navais
7658	Aguda (FIGUEIRÓ DOS VINHOS)	Freguesia	508692024	Rua D. Afonso Henriques	Aguda (FIGUEIRÓ DOS VINHOS)	3260-021	AGUDA	juntafreguesiaaguda@gmail.com	236622602	236622602		100801	1258	1394	3966.77	Aguda
14000	Águeda e Borralha (ÁGUEDA)	Freguesia	510833934	Largo Dr Antonio Homem de Mello (Toy), N.º 74	Águeda	3750-107	ÁGUEDA	info@jf-agueda.pt	234622361	234603826		10121				União das freguesias de Águeda e Borralha
8712	Aguiã (ARCOS DE VALDEVEZ)	Freguesia	507015541	Souto Novo - Aguiã	Aguiã (ARCOS DE VALDEVEZ)	4970-049	AGUIÃ	jf.aguia@gmail.com	258522757	258522757	www.jf-aguia.com	160102	872	732	380.52	Aguiã
7169	Aguiar (VIANA DO ALENTEJO)	Freguesia	506778835	Rua 10 de Outubro, Lt. 1,	Aguiar (VIANA DO ALENTEJO)	7090-405	AGUIAR	jfaguiar@cm-vianadoalentejo.pt	266930863	266930863		71303	678	699	3096.94	Aguiar
14366	Aguiar da Beira e Coruche (AGUIAR DA BEIRA)	Freguesia	510833942	Travessa Junta de Freguesia, N.º 2	Aguiar da Beira	3570-011	AGUIAR DA BEIRA	freguesias.aguiarbeira.coruche@sapo.pt	232688825	232687247		90114				União das freguesias de Aguiar da Beira e Coruche
8258	Aguiar de Sousa (PAREDES)	Freguesia	508152291	Lugar de Senande	Aguiar de Sousa (PAREDES)	4585-005	AGUIAR DE SOUSA	juntadefreguesiadeaguiardesousa@hotmail.com	224500415	224500415	www.jf-aguiardesousa.pt	131001	1389	1600	2237.70	Aguiar de Sousa
6570	Aguieiras (MIRANDELA)	Freguesia	508951828	Lugar do Chairos	Aguieiras (MIRANDELA)	5385-011	AGUIEIRAS	electro_ferreira@sapo.pt	278369666	278369666		40703	446	375	1472.25	Aguieiras
8113	Aião (FELGUEIRAS)	Freguesia	501171770	Rua de S. João, N.º 888	Aião (FELGUEIRAS)	4650-026	AIÃO	junta.aiao@gmail.com	255488781/ 965632217	255488781	www.aiao.pt	130301	673	908	277.87	Aião
8114	Airães (FELGUEIRAS)	Freguesia	501170219	Rua de Santa Maria, N.º 2097	Airães (FELGUEIRAS)	4650-084	AIRÃES	juntafreguesia.airaes@gmail.com	255488771	255488771	www.airaes.pt	130302	2362	2628	401.05	Airães
14134	Airão Santa Maria, Airão São João e Vermil (GUIMARÃES)	Freguesia	510833950	RUA DA ESCOLA, 174		4805-479	AIRÃO S. MARIA GMR	ruiscarneiro@gmail.com	252996826	252996789		30876				União das freguesias de Airão Santa Maria, Airão São João e Vermil
5936	Airó (BARCELOS)	Freguesia	507108159	Rua Principal n.º405	AIRÓ	4755-282	AIRÓ	airoeumjardim@gmail.com	253911164	253911164	www.airo.maisbarcelos.pt	30205	845	946	302.34	Airó
7801	Ajuda (LISBOA)	Freguesia	501138943	Calçada da Ajuda, N.º 236	Ajuda	1349-037	LISBOA	geral@jf-ajuda.pt	213616110	213616111	www.jf-ajuda.pt	110601	16069	17958	285.58	Ajuda
9865	Ajuda da Bretanha (PONTA DELGADA)	Freguesia	512093938	Rua da Igreja, N.º137	Ajuda da Bretanha (PONTA DELGADA)	9545-027	AJUDA DA BRETANHA	jfajudabretanha@sapo.pt	296917091	296917091		420323	619	690	709.25	Ajuda da Bretanha
14209	Ala e Vilarinho do Monte (MACEDO DE CAVALEIROS)	Freguesia	510833969	Edifício Junta de Freguesia	Ala (MACEDO DE CAVALEIROS)	5340-011	ALA	juntadeala@sapo.pt	278359302	278359302		40539				União das freguesias de Ala e Vilarinho do Monte
8039	Alagoa (PORTALEGRE)	Freguesia	506893464	Rua da Fontinha, N.º 2 - A	Alagoa (PORTALEGRE)	7300-301	ALAGOA	jfalagoa@gmail.com	245328351	245328351		121401	609	715	1815.63	Alagoa
14007	Albergaria-a-Velha e Valmaior (ALBERGARIA-A-VELHA)	Freguesia	510832717	Rua Miguel Bombarda	Albergaria-a-Velha	3850-095	ALBERGARIA-A-VELHA	info@jf-albergaria.pt	234521917	234524221		10209				Albergaria-a-Velha e Valmaior
14048	Albernoa e Trindade (BEJA)	Freguesia	510833985	Rua de Santo André	Trindade (BEJA)	7800-761	TRINDADE	ufalbernoatrindade@gmail.com	284952137	284952137		20519				União das freguesias de Albernoa e Trindade
14350	Albufeira e Olhos de Água (ALBUFEIRA)	Freguesia	510832725	Rua Bartolomeu Dias - Edificio os Lusiadas, Loja 2 - Cerro da Alagoa	Albufeira	8201-917	ALBUFEIRA	juntaf-albufeira@hotmail.com	289513895		www.jf-albufeira.pt	80106				Albufeira e Olhos de Água
8611	Alburitel (OURÉM)	Freguesia	507135253	Rua dos Moinhos	Alburitel (OURÉM)	2490-019	ALBURITEL	jfalburitel@sapo.pt	249561157	249561039		142101	1073	1163	1119.42	Alburitel
7795	Alcabideche (CASCAIS)	Freguesia	507014235	Praceta do Moinho	Alcabideche (CASCAIS)	2645-060	ALCABIDECHE	info@jf-alcabideche.pt	214603212	214692229	www.jf-alcabideche.pt	110501	28868	31801	3976.74	Alcabideche
7170	Alcáçovas (VIANA DO ALENTEJO)	Freguesia	506879003	Praça da República, N.º 9	Alcáçovas (VIANA DO ALENTEJO)	7090-026	ALCÁÇOVAS	junta.alcacovas@gmail.com	266954181	266 948133	www.freguesiadealcacovas.pt	71301	1809	2088	26800.47	Alcáçovas
9357	Alcafache (MANGUALDE)	Freguesia	501223533	Lugar do Peso - Casal Mendo	Alcafache (MANGUALDE)	3530-021	ALCAFACHE	freguesia.alcafache@sapo.pt	232478315			180602	976	1029	1287.81	Alcafache
6779	Alcaide (FUNDÃO)	Freguesia	506884872	Praça Joaquim Gil Pinheiro, N.º 7	Alcaide (FUNDÃO)	6230-002	ALCAIDE	jfreguesiaalcaide@sapo.pt	275547906	275547906	www.freguesiadealcaide.com	50401	710	764	1671.51	Alcaide
6723	Alcains (CASTELO BRANCO)	Freguesia	506872696	Largo de Santo António, N° 26	Alcains (CASTELO BRANCO	6005-015	ALCAINS	freguesiaalcains@gmail.com	272906820	272901823		50201	4486	4929	3694.47	Alcains
8545	Alcanede (SANTARÉM)	Freguesia	501206051	Largo Dom Afonso Henriques, N.º 2	Alcanede (SANTARÉM)	2025-045	ALCANEDE	freguesiadealcanede@sapo.pt	243400313	243400036		141604	4255	5048	10583.56	Alcanede
14640	Alcanena e Vila Moreira (ALCANENA)	Freguesia	510834000	Largo António Machado Baptista, N.º 6	Alcanena	2380-036	ALCANENA	geral@jf-alcanena.vilamoreira.pt	249881581	249881581	www.jf-alcanena-vilamoreira.pt	140211				União das freguesias de Alcanena e Vila Moreira
8546	Alcanhões (SANTARÉM)	Freguesia	506922901	Praça Glauco de Oliveira, Apartado 5	Alcanhões (SANTARÉM)	2000-367	ALCANHÕES	junta.alcanhoes@sapo.pt	243429794	243428989		141605	1381	1615	1145.38	Alcanhões
7802	Alcântara (LISBOA)	Freguesia	501132554	Rua dos Lusíadas, N.º 13	Alcântara	1300-366	LISBOA	secretaria@jf-alcantara.pt	213615200	213615299	www.jf-alcantara.pt	110602	13878	14443	443.76	Alcântara
14360	Alcantarilha e Pêra (SILVES)	Freguesia	510834019	Rua dos Bombeiros Voluntários	Alcantarilha (SILVES)	8365-049	ALCANTARILHA	geral@jf-alcantarilha.pt	282322506	282322513		81309				União das freguesias de Alcantarilha e Pêra
8570	Alcaravela (SARDOAL)	Freguesia	506360938	Rua Santa Clara	Alcaravela (SARDOAL)	2230-011	ALCARAVELA	juntadealcaravela@iol.pt	241855628	241851244		141701	936	1084	3677.44	Alcaravela
6780	Alcaria (FUNDÃO)	Freguesia	506605965	Avenida Dª Maria Lurdes Silva Lino Sousa	Alcaria (FUNDÃO)	6230-022	ALCARIA	jf.alcaria@iol.pt	275776777	275776777	www.freguesiadealcaria.pt	50402	1185	1271	2148.14	Alcaria
5859	Alcaria Ruiva (MÉRTOLA)	Freguesia	506933997	Caixa Postal 7801	Alcaria Ruiva (MÉRTOLA)	7750-013	ALCARIA RUIVA	jf.alcariaruiva@iol.pt	286998123	286998148		20901	839	1013	21666.87	Alcaria Ruiva
14438	Alcobaça e Vestiaria (ALCOBAÇA)	Freguesia	510834027	Rua Judite Neves Vasco, nº 2	Alcobaça	2460-007	ALCOBAÇA	alcobaca@jf-alcobacaevestiaria.pt	262581130	262503064		100121				União das freguesias de Alcobaça e Vestiaria
8522	Alcobertas (RIO MAIOR)	Freguesia	506713547	Rua Sta. Maria Madalena, N.º 43	Alcobertas (RIO MAIOR)	2040-011	ALCOBERTAS	jf-alcobertas@mail.telepac.pt	243405111	243405783	www.jf-alcobertas.pt	141401	1713	2033	3203.01	Alcobertas
8635	Alcochete (ALCOCHETE)	Freguesia	506925447	Rua Ruy de Sousa Vinagre	Alcochete	2890-017	ALCOCHETE	jfalcochete@gmail.com	212341040	212342605	www.freguesiadealcochete.pt	150201	8625	9094	11943.45	Alcochete
7776	Alcoentre (AZAMBUJA)	Freguesia	506912175	Rua D. João I, N.º 20 e 22 	Alcoentre (AZAMBUJA)	2065-030	ALCOENTRE	jfalcoentre@gmail.com	263485092	263485030		110301	2398	3534	4705.33	Alcoentre
9627	Alcofra (VOUZELA)	Freguesia	501119817	Rua Cimo Vila	Alcofra (VOUZELA)	3670-015	ALCOFRA	freguesiadealcofra@sapo.pt	232752335	232752335	www.freguesiadealcofra.pt	182401	1065	1202	2896.27	Alcofra
6781	Alcongosta (FUNDÃO)	Freguesia	507734173	Rua do Espirito Santo, N.º 7	Alcongosta (FUNDÃO)	6230-040	ALCONGOSTA	jfalcongosta@gmail.com	275753447	275753447		50403	559	573	731.05	Alcongosta
14534	Alcórrego e Maranhão (AVIS)	Freguesia	510834035	Av.ª 25 de Abril, N.º 9, 1.º r/c	Alcórrego	7480-028	ALCÓRREGO	jfreg.alcorrego.maranhao@gmail.com	242412231/268	242412231	www.jf-alcorrego-maranhao.pt	120309				União das freguesias de Alcórrego e Maranhão
14351	Alcoutim e Pereiro (ALCOUTIM)	Freguesia	510834043	Rua do Caminho Velho, Edifício da Antiga Escola Primária	Alcoutim	8970-065	ALCOUTIM	ufap.geral@gmail.com	281546437 / 281547234	281546127		80206				União das freguesias de Alcoutim e Pereiro
6176	Aldão (GUIMARÃES)	Freguesia	507881729	Padre João Pimenta, N.º 31	Aldão  (GUIMARÃES)	4800-014	ALDÃO	jf.aldao@sapo.pt	253553787	253553787	freguesiadealdao.blogs.sapo.pt	30801	1054	918	155.15	Aldão
7989	Aldeia da Mata (CRATO)	Freguesia	506925420	Rua Dr. Joaquim Tavares Machado, N.º 9	Aldeia da Mata (CRATO)	7430-027	ALDEIA DA MATA	jfamata@clix.pt	245699111	245699221	www.jf-aldeiadamata.pt	120601	395	482	3728.41	Aldeia da Mata
7484	Aldeia da Ponte (SABUGAL)	Freguesia	507246357	Rua Ribeiro, N.º 37	Aldeia da Ponte (SABUGAL)	6320-031	ALDEIA DA PONTE	jfnabais@sapo.pt	271647553/271647430	271647430		91103	406	340	3669.07	Aldeia da Ponte
14415	Aldeia da Ribeira, Vilar Maior e Badamalos (SABUGAL)	Freguesia	510834051	Largo Misericórdia, 9	Vilar Maior (SABUGAL)	6320-601	VILAR MAIOR	ufarvmb2013@gmail.com	271647531	271647531		91141				União das freguesias de Aldeia da Ribeira, Vilar Maior e Badamalos
7007	Aldeia das Dez (OLIVEIRA DO HOSPITAL)	Freguesia	506953122	Rua dos Tecelões, N.º 2	Aldeia das Dez (OLIVEIRA DO HOSPITAL)	3400-237	ALDEIA DAS DEZ	geral@aldeiadasdez.pt	238671408		www.aldeiadasdez.pt	61101	527	627	1869.49	Aldeia das Dez
